id,public_metrics
883360690899218434,"{'retweet_count': 3108, 'reply_count': 130, 'like_count': 20151, 'quote_count': 130}"
883117836046086144,"{'retweet_count': 5579, 'reply_count': 78, 'like_count': 32828, 'quote_count': 110}"
883117836046086144,"{'retweet_count': 5579, 'reply_count': 78, 'like_count': 32828, 'quote_count': 110}"
882992080364220416,"{'retweet_count': 3266, 'reply_count': 56, 'like_count': 21185, 'quote_count': 53}"
882992080364220416,"{'retweet_count': 3266, 'reply_count': 56, 'like_count': 21185, 'quote_count': 53}"
882762694511734784,"{'retweet_count': 4128, 'reply_count': 83, 'like_count': 25022, 'quote_count': 123}"
882762694511734784,"{'retweet_count': 4128, 'reply_count': 83, 'like_count': 25022, 'quote_count': 123}"
882627270321602560,"{'retweet_count': 5116, 'reply_count': 120, 'like_count': 24849, 'quote_count': 262}"
882627270321602560,"{'retweet_count': 5116, 'reply_count': 120, 'like_count': 24849, 'quote_count': 262}"
882268110199369728,"{'retweet_count': 9748, 'reply_count': 128, 'like_count': 39538, 'quote_count': 308}"
882268110199369728,"{'retweet_count': 9748, 'reply_count': 128, 'like_count': 39538, 'quote_count': 308}"
882045870035918850,"{'retweet_count': 4116, 'reply_count': 406, 'like_count': 25997, 'quote_count': 1252}"
882045870035918850,"{'retweet_count': 4116, 'reply_count': 406, 'like_count': 25997, 'quote_count': 1252}"
881906580714921986,"{'retweet_count': 2883, 'reply_count': 98, 'like_count': 21654, 'quote_count': 132}"
881906580714921986,"{'retweet_count': 2883, 'reply_count': 98, 'like_count': 21654, 'quote_count': 132}"
881666595344535552,"{'retweet_count': 9042, 'reply_count': 154, 'like_count': 44976, 'quote_count': 274}"
881666595344535552,"{'retweet_count': 9042, 'reply_count': 154, 'like_count': 44976, 'quote_count': 274}"
881633300179243008,"{'retweet_count': 8, 'reply_count': 1, 'like_count': 113, 'quote_count': 1}"
881633300179243008,"{'retweet_count': 8, 'reply_count': 1, 'like_count': 113, 'quote_count': 1}"
881536004380872706,"{'retweet_count': 13529, 'reply_count': 432, 'like_count': 43852, 'quote_count': 1224}"
881536004380872706,"{'retweet_count': 13529, 'reply_count': 432, 'like_count': 43852, 'quote_count': 1224}"
881268444196462592,"{'retweet_count': 4526, 'reply_count': 127, 'like_count': 20690, 'quote_count': 178}"
881268444196462592,"{'retweet_count': 4526, 'reply_count': 127, 'like_count': 20690, 'quote_count': 178}"
880935762899988482,"{'retweet_count': 2360, 'reply_count': 43, 'like_count': 15213, 'quote_count': 75}"
880935762899988482,"{'retweet_count': 2360, 'reply_count': 43, 'like_count': 15213, 'quote_count': 75}"
880872448815771648,"{'retweet_count': 3229, 'reply_count': 84, 'like_count': 18928, 'quote_count': 111}"
880872448815771648,"{'retweet_count': 3229, 'reply_count': 84, 'like_count': 18928, 'quote_count': 111}"
880465832366813184,"{'retweet_count': 5261, 'reply_count': 124, 'like_count': 25233, 'quote_count': 222}"
880465832366813184,"{'retweet_count': 5261, 'reply_count': 124, 'like_count': 25233, 'quote_count': 222}"
